X,Y,Z,formation
1841095.82,5176568.77,180.60,remblais
1841095.82,5176568.77,168.60,argsilmi
1841131.02,5176564.79,197.76,remblais
1841131.02,5176564.79,190.31,morarcog
1841315.89,5176541.61,226.00,remblais
1841315.89,5176541.61,213.31,morarcog
1841460.64,5176543.23,227.85,morarcog
1841460.64,5176543.23,219.75,argsilmi
1841460.64,5176543.23,212.75,argjauli
1841788.53,5176513.77,243.87,remblais
1841788.53,5176513.77,236.92,morarcog
1841788.53,5176513.77,222.87,argmipli
1841788.53,5176513.77,206.87,argsilmi
1841951.25,5176503.33,234.90,remblais
1841951.25,5176503.33,229.60,argmipli
1841951.25,5176503.33,223.00,argjauli
1841951.25,5176503.33,206.70,sabmolmi
1842258.37,5176471.28,252.56,remblais
1842258.37,5176471.28,240.86,morarcog
1842258.37,5176471.28,224.86,argmipli
1842258.37,5176471.28,222.16,argjauli
1842258.37,5176471.28,196.32,argsilmi
1842345.05,5176465.27,241.87,remblais
1842345.05,5176465.27,224.17,argmipli
1842345.05,5176465.27,192.37,sabmolmi
1842578.10,5176448.82,237.19,remblais
1842578.10,5176448.82,195.49,argsilmi
1842578.10,5176448.82,187.19,argcolmi
1842672.61,5176438.06,229.51,remblais
1842672.61,5176438.06,205.56,argmipli
1842672.61,5176438.06,194.06,argjauli
1842672.61,5176438.06,188.86,sabmolmi
1842672.61,5176438.06,182.76,argcolmi
1842752.99,5176430.25,215.01,remblais
1842752.99,5176430.25,208.11,argmipli
1842752.99,5176430.25,199.41,argsilmi
1842752.99,5176430.25,184.91,sabmolmi
1842752.99,5176430.25,178.51,argcolmi
1842834.70,5176422.09,185.59,remblais
1842834.70,5176422.09,177.39,sabmolmi
1842834.70,5176422.09,165.29,argcolmi
1841387.50,5176542.40,223.00,morarcog
1841387.50,5176542.40,230.00,remblais
1841350.50,5176542.00,218.00,morarcog
